specimen_number,web_link,author_name_1,author_name_2,specimen_name,cross_section_type,loading_condition,t,D,r,B,d,L,n,fy,Pt
20,https://scholarsmine.mst.edu/cgi/viewcontent.cgi?article=1009&context=ccfss-aisi-spec,Beshara,Schuster,C-200-10-60-ITF-b,C,ITF,1.16,200,10,56.7,31.3,1220,63.5,328,7.08
21,https://scholarsmine.mst.edu/cgi/viewcontent.cgi?article=1009&context=ccfss-aisi-spec,Beshara,Schuster,C-200-14-60-ITF-a,C,ITF,1.16,201,14,61,27.9,1220,63.5,328,6.72
22,https://scholarsmine.mst.edu/cgi/viewcontent.cgi?article=1009&context=ccfss-aisi-spec,Beshara,Schuster,C-200-14-60-ITF-b,C,ITF,1.16,201,14,61.1,28.4,1220,63.5,328,6.72
23,https://scholarsmine.mst.edu/cgi/viewcontent.cgi?article=1009&context=ccfss-aisi-spec,Beshara,Schuster,C-200-14-100-ITF-a,C,ITF,1.16,201,14,60.2,27.8,1220,101,328,7.08
24,https://scholarsmine.mst.edu/cgi/viewcontent.cgi?article=1009&context=ccfss-aisi-spec,Beshara,Schuster,C-200-14-100-ITF-b,C,ITF,1.16,201,14,60.6,28.3,1220,101,328,7.08
25,https://scholarsmine.mst.edu/cgi/viewcontent.cgi?article=1009&context=ccfss-aisi-spec,Beshara,Schuster,C-300-7-30-ITF-a,C,ITF,1.45,300,7,45.3,16.3,1500,30,448,11
26,https://scholarsmine.mst.edu/cgi/viewcontent.cgi?article=1009&context=ccfss-aisi-spec,Beshara,Schuster,C-300-7-30-ITF-b,C,ITF,1.45,300,7,46.1,17,1500,30,448,11
27,https://scholarsmine.mst.edu/cgi/viewcontent.cgi?article=1009&context=ccfss-aisi-spec,Beshara,Schuster,C-300-7-60-ITF-a,C,ITF,1.45,300,7,46.8,15.9,1500,63.5,448,11.6
28,https://scholarsmine.mst.edu/cgi/viewcontent.cgi?article=1009&context=ccfss-aisi-spec,Beshara,Schuster,C-300-7-60-ITF-b,C,ITF,1.45,300,7,46.8,15.8,1500,63.5,448,11.6
29,https://scholarsmine.mst.edu/cgi/viewcontent.cgi?article=1009&context=ccfss-aisi-spec,Beshara,Schuster,C-300-10-30-ITF-a,C,ITF,1.45,299,10,45.4,17.4,1500,30,448,9.99
30,https://scholarsmine.mst.edu/cgi/viewcontent.cgi?article=1009&context=ccfss-aisi-spec,Beshara,Schuster,C-300-10-30-ITF-b,C,ITF,1.45,299,10,46.7,18.6,1500,30,448,9.99
31,https://scholarsmine.mst.edu/cgi/viewcontent.cgi?article=1009&context=ccfss-aisi-spec,Beshara,Schuster,C-300-10-60-ITF-a,C,ITF,1.45,300,10,48.7,19.4,1500,63.5,448,10.9
32,https://scholarsmine.mst.edu/cgi/viewcontent.cgi?article=1009&context=ccfss-aisi-spec,Beshara,Schuster,C-300-10-60-ITF-b,C,ITF,1.45,300,10,48.6,19.1,1500,63.5,448,10.9
33,https://scholarsmine.mst.edu/cgi/viewcontent.cgi?article=1009&context=ccfss-aisi-spec,Beshara,Schuster,C-300-14-60-ITF-a,C,ITF,1.45,300,14,51.7,18.5,1500,63.5,448,11.3
34,https://scholarsmine.mst.edu/cgi/viewcontent.cgi?article=1009&context=ccfss-aisi-spec,Beshara,Schuster,C-300-14-60-ITF-b,C,ITF,1.45,300,14,51.8,18.6,1500,63.5,448,11.3
35,https://scholarsmine.mst.edu/cgi/viewcontent.cgi?article=1009&context=ccfss-aisi-spec,Beshara,Schuster,C-300-14-100-ITF-a,C,ITF,1.45,300,14,50.9,19.6,1500,101,448,10.6
36,https://scholarsmine.mst.edu/cgi/viewcontent.cgi?article=1009&context=ccfss-aisi-spec,Beshara,Schuster,C-300-14-100-ITF-b,C,ITF,1.45,300,14,50.8,18.9,1500,101,448,10.6
1,https://scholarsmine.mst.edu/cgi/viewcontent.cgi?article=1009&context=ccfss-aisi-spec,Beshara,Schuster,Z-120-7-30-ETF-a,Z,ETF,1.45,120,7,45.8,28,610,30,332,5.43
2,https://scholarsmine.mst.edu/cgi/viewcontent.cgi?article=1009&context=ccfss-aisi-spec,Beshara,Schuster,Z-120-7-30-ETF-b,Z,ETF,1.45,120,7,45.8,27.4,610,30,332,5.43
3,https://scholarsmine.mst.edu/cgi/viewcontent.cgi?article=1009&context=ccfss-aisi-spec,Beshara,Schuster,Z-120-7-60-ETF-a,Z,ETF,1.45,120,7,45.8,28,610,63.5,332,6.18
4,https://scholarsmine.mst.edu/cgi/viewcontent.cgi?article=1009&context=ccfss-aisi-spec,Beshara,Schuster,Z-120-7-60-ETF-b,Z,ETF,1.45,120,7,45.8,27.4,610,63.5,332,6.18
5,https://scholarsmine.mst.edu/cgi/viewcontent.cgi?article=1009&context=ccfss-aisi-spec,Beshara,Schuster,Z-120-10-30-ETF-a,Z,ETF,1.45,120,10,45.4,30.1,610,30,332,5.31
6,https://scholarsmine.mst.edu/cgi/viewcontent.cgi?article=1009&context=ccfss-aisi-spec,Beshara,Schuster,Z-120-10-30-ETF-b,Z,ETF,1.45,120,10,45.9,29.2,610,30,332,5.31
7,https://scholarsmine.mst.edu/cgi/viewcontent.cgi?article=1009&context=ccfss-aisi-spec,Beshara,Schuster,Z-120-10-60-ETF-a,Z,ETF,1.45,120,10,45.4,30.1,610,63.5,332,6.09
8,https://scholarsmine.mst.edu/cgi/viewcontent.cgi?article=1009&context=ccfss-aisi-spec,Beshara,Schuster,Z-120-10-60-ETF-b,Z,ETF,1.45,120,10,45.9,29.2,610,63.5,332,6.09
9,https://scholarsmine.mst.edu/cgi/viewcontent.cgi?article=1009&context=ccfss-aisi-spec,Beshara,Schuster,Z-120-14-30-ETF-a,Z,ETF,1.45,120,14,51.4,29.5,610,30,332,5.25
10,https://scholarsmine.mst.edu/cgi/viewcontent.cgi?article=1009&context=ccfss-aisi-spec,Beshara,Schuster,Z-120-14-30-ETF-b,Z,ETF,1.45,120,14,51,28.3,610,30,332,5.25
11,https://scholarsmine.mst.edu/cgi/viewcontent.cgi?article=1009&context=ccfss-aisi-spec,Beshara,Schuster,Z-120-14-30-ETF-a,Z,ETF,1.45,120,14,51.4,29.5,610,63.5,332,5.85
12,https://scholarsmine.mst.edu/cgi/viewcontent.cgi?article=1009&context=ccfss-aisi-spec,Beshara,Schuster,Z-120-14-30-ETF-b,Z,ETF,1.45,120,14,51,28.3,610,63.5,332,5.85
13,https://scholarsmine.mst.edu/cgi/viewcontent.cgi?article=1009&context=ccfss-aisi-spec,Beshara,Schuster,Z-200-7-30-ETF-a,Z,ETF,1.16,200,7,50.7,32.6,1220,30,323,2.73
14,https://scholarsmine.mst.edu/cgi/viewcontent.cgi?article=1009&context=ccfss-aisi-spec,Beshara,Schuster,Z-200-7-30-ETF-b,Z,ETF,1.16,200,7,50.2,32.7,1220,30,323,2.73
15,https://scholarsmine.mst.edu/cgi/viewcontent.cgi?article=1009&context=ccfss-aisi-spec,Beshara,Schuster,Z-200-7-60-ETF-a,Z,ETF,1.16,200,7,50.7,32.6,1220,63.5,323,2.88
16,https://scholarsmine.mst.edu/cgi/viewcontent.cgi?article=1009&context=ccfss-aisi-spec,Beshara,Schuster,Z-200-7-60-ETF-b,Z,ETF,1.16,200,7,50.2,32.7,1220,63.5,323,2.88
17,https://scholarsmine.mst.edu/cgi/viewcontent.cgi?article=1009&context=ccfss-aisi-spec,Beshara,Schuster,Z-200-10-30-ETF-a,Z,ETF,1.16,200,10,56.5,31.3,1220,30,323,2.64
18,https://scholarsmine.mst.edu/cgi/viewcontent.cgi?article=1009&context=ccfss-aisi-spec,Beshara,Schuster,Z-200-10-30-ETF-b,Z,ETF,1.16,200,10,56.2,30.2,1220,30,323,2.64
